2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.479410000000000025e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.465849999999999653e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.524269999999999925e+01
0.000000000000000000e+00,3.474810000000000088e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.459700000000000131e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.416910000000000025e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.494800000000000040e+01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.477259999999999707e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.470380000000000109e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.444899999999999807e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.419689999999999941e+01,3.453679999999999950e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.429290000000000305e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.504540000000000077e+01,0.000000000000000000e+00
0.000000000000000000e+00,3.445139999999999958e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.457260000000000133e+01
0.000000000000000000e+00,3.450189999999999912e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.427069999999999794e+01,0.000000000000000000e+00
3.372030000000000172e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.411880000000000024e+01,3.387890000000000157e+01,3.427420000000000044e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.416219999999999857e+01,3.444539999999999935e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.429129999999999967e+01,0.000000000000000000e+00
3.390129999999999910e+01,3.398850000000000193e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.382229999999999848e+01,3.394570000000000221e+01,3.391899999999999693e+01,3.404390000000000072e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.396329999999999671e+01,3.389139999999999731e+01,3.392450000000000188e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.430819999999999936e+01
3.377009999999999934e+01,3.384649999999999892e+01,3.396909999999999741e+01,3.370130000000000337e+01,3.421079999999999899e+01,3.405010000000000048e+01
3.346009999999999707e+01,3.440169999999999817e+01,3.447270000000000323e+01,0.000000000000000000e+00,3.421949999999999648e+01,3.436469999999999914e+01
3.326380000000000337e+01,3.393639999999999901e+01,3.399060000000000059e+01,0.000000000000000000e+00,3.453340000000000032e+01,0.000000000000000000e+00
3.344259999999999877e+01,3.404999999999999716e+01,3.368599999999999994e+01,3.416579999999999728e+01,3.382540000000000191e+01,0.000000000000000000e+00
3.341510000000000247e+01,3.359640000000000271e+01,3.405270000000000152e+01,3.392759999999999820e+01,3.418099999999999739e+01,3.427909999999999968e+01
3.327879999999999683e+01,3.394890000000000185e+01,3.424920000000000186e+01,3.421150000000000091e+01,3.407549999999999812e+01,3.429079999999999728e+01
3.324580000000000268e+01,3.407249999999999801e+01,0.000000000000000000e+00,3.411840000000000117e+01,3.410900000000000176e+01,3.426659999999999684e+01
3.316329999999999956e+01,3.375339999999999918e+01,3.381450000000000244e+01,3.419500000000000028e+01,3.393149999999999977e+01,3.400549999999999784e+01
3.304330000000000211e+01,3.340679999999999694e+01,3.372599999999999909e+01,3.389030000000000342e+01,3.387720000000000198e+01,3.378249999999999886e+01
3.304460000000000264e+01,3.366170000000000329e+01,3.397189999999999799e+01,3.408339999999999748e+01,3.379079999999999728e+01,3.391610000000000014e+01
3.289979999999999905e+01,3.347820000000000107e+01,3.379590000000000316e+01,3.397059999999999746e+01,3.368090000000000117e+01,3.392560000000000286e+01
3.302890000000000015e+01,3.324150000000000205e+01,3.348799999999999955e+01,3.392280000000000229e+01,3.383939999999999770e+01,3.394519999999999982e+01
3.277759999999999962e+01,3.320020000000000238e+01,3.376700000000000301e+01,3.385470000000000113e+01,3.382150000000000034e+01,3.359290000000000020e+01
3.272959999999999781e+01,3.331949999999999790e+01,3.397540000000000049e+01,3.349459999999999837e+01,3.381099999999999994e+01,3.352600000000000335e+01
3.271220000000000283e+01,3.347809999999999775e+01,3.359429999999999694e+01,3.366499999999999915e+01,3.375639999999999930e+01,3.365299999999999869e+01
3.265709999999999980e+01,3.330530000000000257e+01,3.317960000000000065e+01,3.383350000000000080e+01,3.381099999999999994e+01,3.373490000000000322e+01
3.249090000000000344e+01,3.319809999999999661e+01,3.355669999999999931e+01,3.371110000000000184e+01,3.386829999999999785e+01,3.365019999999999811e+01
3.247379999999999711e+01,3.320909999999999940e+01,3.354890000000000327e+01,3.365579999999999927e+01,3.366590000000000060e+01,3.346520000000000294e+01
3.242649999999999721e+01,3.304059999999999775e+01,3.346300000000000097e+01,3.344350000000000023e+01,3.351729999999999876e+01,3.358299999999999841e+01
3.245900000000000318e+01,3.304740000000000322e+01,3.315890000000000271e+01,3.376250000000000284e+01,3.353450000000000131e+01,3.354379999999999740e+01
3.242170000000000130e+01,3.295060000000000144e+01,3.322169999999999845e+01,3.359920000000000329e+01,3.349649999999999750e+01,3.340480000000000160e+01
3.226700000000000301e+01,3.289320000000000022e+01,3.334629999999999939e+01,3.345850000000000080e+01,3.351059999999999661e+01,3.350589999999999691e+01
3.218780000000000285e+01,3.278940000000000055e+01,3.328549999999999898e+01,3.348919999999999675e+01,3.334340000000000259e+01,3.331940000000000168e+01
3.227729999999999677e+01,3.266779999999999973e+01,3.313680000000000092e+01,3.350220000000000198e+01,3.347209999999999752e+01,3.346430000000000149e+01
3.226670000000000016e+01,3.285450000000000159e+01,3.295029999999999859e+01,3.344659999999999656e+01,3.353320000000000078e+01,3.330830000000000268e+01
3.226830000000000354e+01,3.274640000000000128e+01,3.318840000000000146e+01,3.331320000000000192e+01,3.323989999999999867e+01,3.334290000000000020e+01
3.209620000000000317e+01,3.271359999999999957e+01,3.285370000000000346e+01,3.327230000000000132e+01,3.332990000000000208e+01,3.330859999999999843e+01
3.213199999999999790e+01,3.252479999999999905e+01,3.288289999999999935e+01,3.334150000000000347e+01,3.318110000000000070e+01,3.326729999999999876e+01
3.205899999999999750e+01,3.256560000000000343e+01,3.285049999999999670e+01,3.338530000000000086e+01,3.326469999999999771e+01,3.314880000000000138e+01
3.199630000000000152e+01,3.253990000000000293e+01,3.281239999999999668e+01,3.315339999999999776e+01,3.304939999999999856e+01,3.313850000000000051e+01
3.205740000000000123e+01,3.244749999999999801e+01,3.288040000000000163e+01,3.300070000000000192e+01,3.312749999999999773e+01,3.318659999999999854e+01
3.199360000000000070e+01,3.244299999999999784e+01,3.275560000000000116e+01,3.301160000000000139e+01,3.307370000000000232e+01,3.302409999999999712e+01
3.201400000000000290e+01,3.248369999999999891e+01,3.269769999999999754e+01,3.293730000000000047e+01,3.294339999999999691e+01,3.296450000000000102e+01
3.201749999999999829e+01,3.251089999999999947e+01,3.268299999999999983e+01,3.286820000000000164e+01,3.285860000000000269e+01,3.292040000000000077e+01
3.199620000000000175e+01,3.236419999999999675e+01,3.269550000000000267e+01,3.293970000000000198e+01,3.299909999999999854e+01,3.307300000000000040e+01
3.200959999999999894e+01,3.228249999999999886e+01,3.253690000000000282e+01,3.298230000000000217e+01,3.297529999999999717e+01,3.278779999999999717e+01
3.203179999999999694e+01,3.231819999999999737e+01,3.257620000000000005e+01,3.283400000000000318e+01,3.288539999999999708e+01,3.286129999999999995e+01
3.199569999999999936e+01,3.221110000000000184e+01,3.259259999999999735e+01,3.285589999999999833e+01,3.292139999999999844e+01,3.275610000000000355e+01
3.199040000000000106e+01,3.232880000000000109e+01,3.254869999999999663e+01,3.278949999999999676e+01,3.278940000000000055e+01,3.289359999999999928e+01
3.201670000000000016e+01,3.219870000000000232e+01,3.251409999999999911e+01,3.273709999999999809e+01,3.265630000000000166e+01,3.275610000000000355e+01
3.199579999999999913e+01,3.213830000000000098e+01,3.251650000000000063e+01,3.290749999999999886e+01,3.272579999999999956e+01,3.268950000000000244e+01
3.199429999999999907e+01,3.226879999999999882e+01,3.234680000000000177e+01,3.277439999999999998e+01,3.268240000000000123e+01,3.280870000000000175e+01
3.195939999999999870e+01,3.216660000000000252e+01,3.243730000000000047e+01,3.270289999999999964e+01,3.271990000000000265e+01,3.273420000000000130e+01
3.201619999999999777e+01,3.206880000000000308e+01,3.237120000000000175e+01,3.263450000000000273e+01,3.253829999999999956e+01,3.266040000000000276e+01
3.195499999999999829e+01,3.206110000000000326e+01,3.225650000000000261e+01,3.261249999999999716e+01,3.260560000000000258e+01,3.259020000000000294e+01
3.195510000000000161e+01,3.193700000000000117e+01,3.229359999999999786e+01,3.253499999999999659e+01,3.253179999999999694e+01,3.263309999999999889e+01
3.197250000000000014e+01,3.196010000000000062e+01,3.224770000000000181e+01,3.271659999999999968e+01,3.251839999999999975e+01,3.253320000000000078e+01
3.198770000000000024e+01,3.190749999999999886e+01,3.232549999999999812e+01,3.254639999999999844e+01,3.251830000000000354e+01,3.261809999999999832e+01
3.190840000000000032e+01,3.197530000000000072e+01,3.220629999999999882e+01,3.265259999999999962e+01,3.254279999999999973e+01,3.250630000000000308e+01
3.194269999999999854e+01,3.192930000000000135e+01,3.228589999999999804e+01,3.253170000000000073e+01,3.249880000000000280e+01,3.242980000000000018e+01
3.193980000000000175e+01,3.197159999999999869e+01,3.223539999999999850e+01,3.243010000000000304e+01,3.242179999999999751e+01,3.242680000000000007e+01
3.193599999999999994e+01,3.197670000000000101e+01,3.214789999999999992e+01,3.243889999999999674e+01,3.241449999999999676e+01,3.237420000000000186e+01
3.194450000000000145e+01,3.201630000000000109e+01,3.223360000000000269e+01,3.227870000000000061e+01,3.241610000000000014e+01,3.256419999999999959e+01
3.190640000000000143e+01,3.200119999999999720e+01,3.209199999999999875e+01,3.226030000000000086e+01,3.237910000000000110e+01,3.245089999999999719e+01
3.193110000000000070e+01,3.194859999999999900e+01,3.204650000000000176e+01,3.242459999999999809e+01,3.243970000000000198e+01,3.240290000000000248e+01
3.193830000000000169e+01,3.195110000000000028e+01,3.210119999999999862e+01,3.233319999999999794e+01,3.237720000000000198e+01,3.235110000000000241e+01
3.193619999999999948e+01,3.190549999999999997e+01,3.203249999999999886e+01,3.234759999999999991e+01,3.235430000000000206e+01,3.227879999999999683e+01
3.193850000000000122e+01,3.194910000000000139e+01,3.199540000000000006e+01,3.217990000000000350e+01,3.225139999999999674e+01,3.226630000000000109e+01
3.195299999999999940e+01,3.187689999999999912e+01,3.199279999999999902e+01,3.221809999999999974e+01,3.221949999999999648e+01,3.218760000000000332e+01
3.191150000000000020e+01,3.195309999999999917e+01,3.196849999999999881e+01,3.230740000000000123e+01,3.227259999999999707e+01,3.220459999999999923e+01
3.193199999999999861e+01,3.192899999999999849e+01,3.194269999999999854e+01,3.215050000000000097e+01,3.214889999999999759e+01,3.222780000000000200e+01
3.193809999999999860e+01,3.192800000000000082e+01,3.189939999999999998e+01,3.226619999999999777e+01,3.218650000000000233e+01,3.225639999999999930e+01
3.194780000000000086e+01,3.191229999999999833e+01,3.195270000000000010e+01,3.214209999999999923e+01,3.216029999999999944e+01,3.221849999999999881e+01
3.195349999999999824e+01,3.194099999999999895e+01,3.195479999999999876e+01,3.221600000000000108e+01,3.214939999999999998e+01,3.217699999999999960e+01
3.196330000000000027e+01,3.192320000000000135e+01,3.191929999999999978e+01,3.217459999999999809e+01,3.213940000000000197e+01,3.216709999999999781e+01
3.195270000000000010e+01,3.193809999999999860e+01,3.194129999999999825e+01,3.206119999999999948e+01,3.205539999999999878e+01,3.212660000000000338e+01
3.192640000000000100e+01,3.192040000000000077e+01,3.191000000000000014e+01,3.204339999999999833e+01,3.207609999999999673e+01,3.213179999999999836e+01
3.194930000000000092e+01,3.196430000000000149e+01,3.188919999999999888e+01,3.198720000000000141e+01,3.207379999999999853e+01,3.208650000000000091e+01
3.197370000000000090e+01,3.194660000000000011e+01,3.191450000000000031e+01,3.200699999999999790e+01,3.208389999999999986e+01,3.207150000000000034e+01
3.193900000000000006e+01,3.192190000000000083e+01,3.188459999999999894e+01,3.197429999999999950e+01,3.200529999999999831e+01,3.199549999999999983e+01
3.194140000000000157e+01,3.191159999999999997e+01,3.186080000000000112e+01,3.200090000000000146e+01,3.197030000000000172e+01,3.202960000000000207e+01
3.197790000000000177e+01,3.192689999999999984e+01,3.187340000000000018e+01,3.198400000000000176e+01,3.196859999999999857e+01,3.203170000000000073e+01
3.196699999999999875e+01,3.191219999999999857e+01,3.187669999999999959e+01,3.199990000000000023e+01,3.194099999999999895e+01,3.202080000000000126e+01
3.193240000000000123e+01,3.192259999999999920e+01,3.188210000000000122e+01,3.197319999999999851e+01,3.195120000000000005e+01,3.197660000000000124e+01
3.192269999999999897e+01,3.195270000000000010e+01,3.187590000000000146e+01,3.193049999999999855e+01,3.195309999999999917e+01,3.197259999999999991e+01
3.193619999999999948e+01,3.191720000000000113e+01,3.188139999999999930e+01,3.192920000000000158e+01,3.192920000000000158e+01,3.196790000000000020e+01
3.195070000000000121e+01,3.194010000000000105e+01,3.189649999999999963e+01,3.192999999999999972e+01,3.193090000000000117e+01,3.196470000000000056e+01
3.193130000000000024e+01,3.194529999999999959e+01,3.190009999999999835e+01,3.191499999999999915e+01,3.192719999999999914e+01,3.195439999999999969e+01
3.195060000000000144e+01,3.190780000000000172e+01,3.189709999999999823e+01,3.193750000000000000e+01,3.190840000000000032e+01,3.197019999999999840e+01
3.195230000000000103e+01,3.192360000000000042e+01,3.187709999999999866e+01,3.191110000000000113e+01,3.192930000000000135e+01,3.197540000000000049e+01
