2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300040000000000084e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.281670000000000087e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.326359999999999983e+00
0.000000000000000000e+00,1.424469999999999903e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.035530000000000062e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.182779999999999943e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.676020000000000065e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.545870000000000077e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.567039999999999988e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.095939999999999914e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.165459999999999940e+00,1.194720000000000004e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.050410000000000066e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.355539999999999967e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.396179999999999977e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.230429999999999913e+00
0.000000000000000000e+00,1.298429999999999973e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.123099999999999987e+00,0.000000000000000000e+00
1.093450000000000033e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.177400000000000002e+00,1.344969999999999999e+00,1.330929999999999946e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.030899999999999928e+00,1.214439999999999964e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.196989999999999998e+00,0.000000000000000000e+00
1.089089999999999892e+00,9.435839999999999783e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.470509999999999762e-01,1.022229999999999972e+00,1.084030000000000049e+00,1.495339999999999892e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.102589999999999959e+00,1.156029999999999891e+00,1.194369999999999932e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.203689999999999927e+00
1.167999999999999927e+00,1.320419999999999927e+00,1.139610000000000012e+00,1.150619999999999976e+00,1.129240000000000022e+00,1.122919999999999918e+00
1.060200000000000031e+00,1.155939999999999968e+00,1.205400000000000027e+00,0.000000000000000000e+00,1.142849999999999921e+00,1.019810000000000105e+00
1.107660000000000089e+00,1.024250000000000105e+00,1.136349999999999971e+00,0.000000000000000000e+00,1.201710000000000056e+00,0.000000000000000000e+00
9.960750000000000437e-01,1.177610000000000046e+00,1.021730000000000027e+00,1.337420000000000053e+00,1.185680000000000067e+00,0.000000000000000000e+00
1.051530000000000076e+00,1.042350000000000110e+00,1.208690000000000042e+00,1.136579999999999924e+00,1.158760000000000012e+00,1.321749999999999980e+00
9.690379999999999550e-01,1.132859999999999978e+00,1.148539999999999894e+00,1.156800000000000050e+00,1.168819999999999970e+00,1.335669999999999913e+00
1.069250000000000034e+00,1.057609999999999939e+00,0.000000000000000000e+00,1.052470000000000017e+00,1.296010000000000106e+00,1.233530000000000015e+00
9.758259999999999712e-01,1.089630000000000098e+00,1.137489999999999890e+00,1.020299999999999985e+00,1.186749999999999972e+00,1.147289999999999921e+00
9.562079999999999469e-01,9.996880000000000210e-01,1.106959999999999944e+00,1.132700000000000040e+00,1.101909999999999945e+00,1.150889999999999969e+00
1.011910000000000087e+00,1.098570000000000046e+00,1.267400000000000082e+00,8.574089999999999767e-01,1.074810000000000043e+00,1.082810000000000050e+00
9.194849999999999968e-01,1.080170000000000075e+00,1.027809999999999890e+00,1.034459999999999935e+00,1.079769999999999897e+00,9.546769999999999978e-01
9.903229999999999533e-01,1.047069999999999945e+00,1.038010000000000099e+00,1.169910000000000005e+00,1.052380000000000093e+00,1.321560000000000068e+00
9.561330000000000107e-01,9.806799999999999962e-01,1.168309999999999960e+00,1.190260000000000096e+00,1.105520000000000058e+00,1.145969999999999933e+00
8.194740000000000357e-01,1.063180000000000014e+00,1.010490000000000110e+00,1.118549999999999933e+00,1.130220000000000002e+00,1.087830000000000075e+00
8.782720000000000526e-01,1.010289999999999910e+00,9.959569999999999812e-01,1.096940000000000026e+00,1.072240000000000082e+00,1.124120000000000008e+00
8.526510000000000478e-01,1.013020000000000032e+00,1.043789999999999996e+00,9.899820000000000286e-01,1.193640000000000034e+00,1.179740000000000011e+00
8.993480000000000363e-01,9.309009999999999785e-01,1.089329999999999909e+00,1.044300000000000006e+00,9.491610000000000325e-01,1.061949999999999950e+00
9.211240000000000538e-01,9.871119999999999894e-01,1.060529999999999973e+00,1.104589999999999961e+00,9.648229999999999862e-01,1.082829999999999959e+00
8.713269999999999627e-01,8.877930000000000543e-01,1.027160000000000073e+00,1.109779999999999989e+00,1.072459999999999969e+00,9.938460000000000072e-01
8.335639999999999716e-01,9.082080000000000153e-01,9.507200000000000095e-01,1.095690000000000053e+00,1.218679999999999986e+00,1.098729999999999984e+00
8.507730000000000015e-01,8.573880000000000390e-01,1.087020000000000097e+00,1.058270000000000044e+00,1.040010000000000101e+00,1.047379999999999978e+00
8.320039999999999658e-01,9.766329999999999734e-01,1.033120000000000038e+00,1.091620000000000035e+00,1.131429999999999936e+00,1.066650000000000098e+00
8.396709999999999452e-01,9.202740000000000364e-01,1.015409999999999924e+00,9.107380000000000475e-01,1.007730000000000015e+00,1.065209999999999990e+00
7.864210000000000367e-01,8.749200000000000310e-01,8.924819999999999975e-01,1.139189999999999925e+00,9.771859999999999991e-01,9.928510000000000391e-01
7.944160000000000110e-01,9.086170000000000080e-01,8.861750000000000460e-01,1.047509999999999941e+00,9.909829999999999472e-01,9.708670000000000355e-01
7.844989999999999464e-01,8.463880000000000292e-01,9.695620000000000349e-01,1.067739999999999911e+00,1.095429999999999904e+00,9.953950000000000298e-01
7.648760000000000003e-01,8.815690000000000470e-01,1.037050000000000027e+00,9.752189999999999470e-01,9.384130000000000527e-01,9.932809999999999695e-01
7.580569999999999808e-01,8.502600000000000158e-01,9.403970000000000384e-01,1.031830000000000025e+00,9.435540000000000038e-01,1.019579999999999931e+00
7.611499999999999932e-01,8.771640000000000548e-01,8.946779999999999733e-01,1.032610000000000028e+00,9.651690000000000547e-01,1.009400000000000075e+00
7.675849999999999618e-01,8.075010000000000243e-01,9.820400000000000240e-01,1.050510000000000055e+00,9.791180000000000438e-01,1.003770000000000051e+00
7.682579999999999965e-01,8.201929999999999499e-01,1.006299999999999972e+00,8.644539999999999447e-01,1.035320000000000018e+00,9.926340000000000163e-01
7.492600000000000371e-01,7.670960000000000001e-01,9.310950000000000060e-01,1.004769999999999941e+00,1.002220000000000111e+00,9.590499999999999581e-01
7.449299999999999811e-01,8.570600000000000440e-01,8.977559999999999985e-01,9.511739999999999640e-01,9.017680000000000140e-01,9.280350000000000543e-01
7.567040000000000433e-01,8.620900000000000230e-01,9.454289999999999639e-01,9.924809999999999466e-01,9.677179999999999671e-01,9.797099999999999698e-01
7.657530000000000170e-01,8.996950000000000225e-01,9.026729999999999476e-01,9.205200000000000049e-01,9.175879999999999592e-01,9.644270000000000342e-01
7.597279999999999589e-01,8.161730000000000373e-01,8.952569999999999695e-01,8.894300000000000539e-01,8.782670000000000199e-01,9.589699999999999891e-01
7.755389999999999784e-01,8.425650000000000084e-01,8.650349999999999984e-01,9.599969999999999892e-01,9.006159999999999721e-01,8.679289999999999505e-01
7.382199999999999873e-01,7.756189999999999474e-01,8.514899999999999691e-01,9.684700000000000530e-01,8.763980000000000103e-01,8.765129999999999866e-01
7.517230000000000301e-01,8.021970000000000489e-01,8.880930000000000213e-01,9.134069999999999689e-01,8.955459999999999532e-01,8.545519999999999783e-01
7.696159999999999668e-01,8.318929999999999936e-01,8.577909999999999702e-01,9.268319999999999892e-01,8.655779999999999585e-01,8.731910000000000505e-01
7.408200000000000340e-01,7.807060000000000111e-01,8.554310000000000525e-01,9.192829999999999613e-01,8.936659999999999604e-01,8.885030000000000427e-01
7.610400000000000498e-01,8.299379999999999535e-01,8.279910000000000325e-01,9.053689999999999793e-01,8.891369999999999552e-01,8.611879999999999535e-01
7.516589999999999661e-01,8.031979999999999675e-01,8.314460000000000184e-01,8.995300000000000518e-01,8.856939999999999813e-01,8.871010000000000284e-01
7.429019999999999513e-01,7.730609999999999982e-01,7.926090000000000080e-01,8.128570000000000517e-01,8.516409999999999814e-01,8.955560000000000187e-01
7.324920000000000320e-01,8.022789999999999644e-01,8.631349999999999856e-01,8.350020000000000220e-01,8.496099999999999763e-01,8.546390000000000375e-01
7.731959999999999944e-01,7.718620000000000481e-01,8.339349999999999818e-01,8.013149999999999995e-01,8.298470000000000013e-01,8.505970000000000475e-01
7.663320000000000132e-01,7.817800000000000304e-01,7.745130000000000070e-01,8.930789999999999562e-01,8.609630000000000338e-01,8.702659999999999840e-01
7.756459999999999466e-01,7.653170000000000250e-01,8.545129999999999670e-01,8.473070000000000324e-01,8.435629999999999518e-01,8.338919999999999666e-01
7.600780000000000314e-01,8.039469999999999672e-01,7.559960000000000013e-01,7.922369999999999690e-01,8.462420000000000497e-01,8.092930000000000401e-01
7.629399999999999515e-01,7.677749999999999853e-01,7.107550000000000257e-01,8.054630000000000400e-01,7.902540000000000120e-01,8.593119999999999647e-01
7.567989999999999995e-01,7.843860000000000277e-01,7.524680000000000257e-01,8.961029999999999829e-01,8.238349999999999840e-01,7.997030000000000527e-01
7.575870000000000104e-01,7.652679999999999483e-01,7.621989999999999599e-01,8.363340000000000218e-01,8.081580000000000430e-01,8.015959999999999752e-01
7.488949999999999774e-01,8.035499999999999865e-01,7.759150000000000214e-01,8.424859999999999571e-01,8.338790000000000369e-01,8.363620000000000498e-01
7.504939999999999944e-01,7.748789999999999845e-01,7.473199999999999843e-01,8.212169999999999748e-01,8.302370000000000028e-01,8.307240000000000180e-01
7.505709999999999882e-01,7.744100000000000428e-01,8.042960000000000109e-01,7.764649999999999608e-01,8.480280000000000040e-01,8.313500000000000334e-01
7.476800000000000113e-01,7.564819999999999878e-01,7.600759999999999739e-01,7.913759999999999684e-01,8.077889999999999793e-01,8.474690000000000278e-01
7.457700000000000440e-01,7.498359999999999470e-01,7.785199999999999898e-01,7.824689999999999701e-01,7.863120000000000109e-01,8.097870000000000346e-01
7.410170000000000368e-01,7.558960000000000123e-01,7.218259999999999676e-01,7.502290000000000347e-01,8.170309999999999517e-01,8.020220000000000127e-01
7.370649999999999702e-01,7.609139999999999793e-01,7.989020000000000010e-01,7.894480000000000386e-01,8.004879999999999773e-01,8.226750000000000451e-01
7.317690000000000028e-01,7.611069999999999780e-01,7.460750000000000437e-01,7.368700000000000250e-01,8.201969999999999539e-01,7.953949999999999632e-01
7.551919999999999744e-01,7.615960000000000507e-01,7.707279999999999687e-01,7.373830000000000107e-01,8.110969999999999569e-01,8.129560000000000120e-01
7.458249999999999602e-01,7.619970000000000354e-01,7.338599999999999568e-01,8.117050000000000098e-01,7.833710000000000395e-01,8.007809999999999651e-01
7.422999999999999599e-01,7.437049999999999494e-01,7.488529999999999909e-01,7.625250000000000083e-01,7.364100000000000090e-01,7.894189999999999818e-01
7.444570000000000354e-01,7.775140000000000384e-01,7.524549999999999850e-01,8.066640000000000477e-01,7.809239999999999515e-01,7.458249999999999602e-01
7.586570000000000258e-01,7.726939999999999920e-01,7.556650000000000311e-01,7.379080000000000084e-01,7.749380000000000157e-01,8.080279999999999685e-01
7.411759999999999460e-01,7.803050000000000264e-01,7.495100000000000096e-01,7.332790000000000141e-01,7.884940000000000282e-01,7.646500000000000519e-01
7.531860000000000221e-01,7.736380000000000479e-01,7.546410000000000062e-01,7.359679999999999556e-01,7.634630000000000027e-01,7.884370000000000545e-01
7.455500000000000460e-01,7.727209999999999912e-01,7.543800000000000505e-01,7.026029999999999776e-01,7.691109999999999891e-01,7.682630000000000292e-01
7.363880000000000425e-01,7.648099999999999898e-01,7.429559999999999498e-01,7.457329999999999792e-01,7.512180000000000524e-01,7.682639999999999469e-01
7.395509999999999584e-01,7.672740000000000116e-01,7.496019999999999905e-01,7.046670000000000433e-01,7.400010000000000199e-01,7.844619999999999926e-01
7.439940000000000442e-01,7.751120000000000232e-01,7.398409999999999709e-01,7.134310000000000374e-01,7.506990000000000052e-01,7.555720000000000214e-01
7.518399999999999528e-01,7.680510000000000392e-01,7.385270000000000445e-01,7.037919999999999732e-01,7.453290000000000193e-01,7.544640000000000235e-01
7.603750000000000231e-01,7.652470000000000105e-01,7.491510000000000113e-01,7.402609999999999468e-01,7.556610000000000271e-01,7.554720000000000324e-01
7.423969999999999736e-01,7.706450000000000244e-01,7.395869999999999944e-01,7.208440000000000403e-01,7.382880000000000553e-01,7.572830000000000394e-01
7.447249999999999703e-01,7.718629999999999658e-01,7.430090000000000305e-01,7.332619999999999694e-01,7.645750000000000046e-01,7.563940000000000108e-01
7.350670000000000259e-01,7.726469999999999727e-01,7.384239999999999693e-01,7.261279999999999957e-01,7.413149999999999462e-01,7.450809999999999933e-01
7.652980000000000338e-01,7.887370000000000214e-01,7.268430000000000168e-01,7.176369999999999694e-01,7.438280000000000447e-01,7.502849999999999797e-01
7.502600000000000380e-01,7.627319999999999656e-01,7.346549999999999470e-01,7.134679999999999911e-01,7.357169999999999543e-01,7.503379999999999495e-01
7.437749999999999639e-01,7.691919999999999868e-01,7.474539999999999518e-01,7.290299999999999558e-01,7.443429999999999769e-01,7.488920000000000021e-01
7.667730000000000379e-01,7.731580000000000119e-01,7.388559999999999572e-01,7.055989999999999762e-01,7.446159999999999446e-01,7.538150000000000128e-01
