2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.466120000000000090e+00,1.804699999999999971e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.730709999999999971e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.765050000000000008e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.866100000000000092e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.539160000000000084e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.827220000000000066e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.808429999999999982e+00,0.000000000000000000e+00
1.872980000000000089e+00,1.637170000000000014e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.397769999999999957e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.607890000000000041e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.414549999999999974e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.495290000000000008e+00,1.470029999999999948e+00,1.714630000000000098e+00,0.000000000000000000e+00,1.690309999999999979e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.678770000000000095e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.465819999999999901e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.621879999999999988e+00,0.000000000000000000e+00
1.639329999999999954e+00,1.363979999999999970e+00,0.000000000000000000e+00,1.772429999999999950e+00,0.000000000000000000e+00,1.630670000000000064e+00
1.547770000000000090e+00,0.000000000000000000e+00,1.352300000000000058e+00,1.359939999999999927e+00,0.000000000000000000e+00,1.576019999999999976e+00
1.403890000000000082e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.487780000000000102e+00,0.000000000000000000e+00
1.132660000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.914299999999999891e+00,0.000000000000000000e+00
1.370069999999999899e+00,1.465219999999999967e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745540000000000092e+00
1.410900000000000043e+00,1.557109999999999994e+00,1.638600000000000056e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.607529999999999903e+00
1.473640000000000061e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.702380000000000004e+00,0.000000000000000000e+00,1.679669999999999996e+00
1.382270000000000110e+00,1.381990000000000052e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.819220000000000059e+00,1.556939999999999991e+00
1.401669999999999972e+00,1.355850000000000000e+00,1.389270000000000005e+00,1.604500000000000037e+00,1.511700000000000044e+00,0.000000000000000000e+00
1.328540000000000054e+00,1.283959999999999990e+00,1.555879999999999930e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.220630000000000104e+00,1.546650000000000080e+00,0.000000000000000000e+00,1.616759999999999975e+00,1.617580000000000018e+00,0.000000000000000000e+00
1.319989999999999997e+00,1.364589999999999970e+00,1.535130000000000106e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.529819999999999958e+00
1.224769999999999914e+00,1.444509999999999961e+00,1.433310000000000084e+00,1.371769999999999934e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.350659999999999972e+00,1.446700000000000097e+00,1.577720000000000011e+00,1.441060000000000008e+00,1.403329999999999966e+00,1.471330000000000027e+00
1.277490000000000014e+00,1.347250000000000059e+00,1.525730000000000031e+00,1.687540000000000040e+00,1.496019999999999905e+00,1.487069999999999892e+00
1.317860000000000031e+00,1.247710000000000097e+00,1.495600000000000041e+00,0.000000000000000000e+00,1.603569999999999940e+00,1.536810000000000009e+00
1.411380000000000079e+00,1.416120000000000045e+00,1.385999999999999899e+00,1.453540000000000054e+00,0.000000000000000000e+00,1.458020000000000094e+00
1.371569999999999956e+00,1.354680000000000106e+00,1.470369999999999955e+00,1.492690000000000072e+00,1.571989999999999998e+00,1.612540000000000084e+00
1.231540000000000079e+00,1.471970000000000001e+00,1.349350000000000049e+00,0.000000000000000000e+00,1.493349999999999955e+00,1.553299999999999903e+00
1.325329999999999897e+00,1.470460000000000100e+00,1.299360000000000070e+00,0.000000000000000000e+00,1.518659999999999899e+00,1.553430000000000089e+00
1.356640000000000068e+00,1.367199999999999971e+00,1.389629999999999921e+00,1.262359999999999927e+00,1.535260000000000069e+00,1.394959999999999978e+00
1.249959999999999960e+00,1.314729999999999954e+00,1.476920000000000011e+00,1.537120000000000042e+00,1.456190000000000095e+00,1.316060000000000008e+00
1.295279999999999987e+00,1.285800000000000054e+00,1.183750000000000080e+00,1.461200000000000054e+00,1.418570000000000109e+00,1.527339999999999920e+00
1.347159999999999913e+00,1.289879999999999916e+00,1.367850000000000010e+00,1.433899999999999952e+00,1.440260000000000096e+00,1.451580000000000092e+00
1.347029999999999950e+00,1.415799999999999947e+00,1.521030000000000104e+00,1.442779999999999951e+00,1.323970000000000091e+00,1.427459999999999951e+00
1.317180000000000017e+00,1.132109999999999950e+00,1.332270000000000065e+00,1.385599999999999943e+00,1.596640000000000059e+00,1.514580000000000037e+00
1.265069999999999917e+00,1.275530000000000053e+00,1.236029999999999962e+00,1.353010000000000046e+00,1.478339999999999987e+00,1.400819999999999954e+00
1.256440000000000001e+00,1.316719999999999891e+00,1.409450000000000092e+00,1.410940000000000083e+00,1.489910000000000068e+00,1.455259999999999998e+00
1.288769999999999971e+00,1.278000000000000025e+00,1.224140000000000006e+00,1.418430000000000080e+00,1.304140000000000077e+00,1.367590000000000083e+00
1.277779999999999916e+00,1.261600000000000055e+00,1.240550000000000042e+00,1.449030000000000040e+00,1.325029999999999930e+00,1.321530000000000094e+00
1.282240000000000046e+00,1.218979999999999952e+00,1.457370000000000054e+00,1.243249999999999966e+00,1.290000000000000036e+00,1.423110000000000097e+00
1.320249999999999924e+00,1.288219999999999921e+00,1.371729999999999894e+00,1.357839999999999936e+00,1.349110000000000031e+00,1.393189999999999928e+00
1.324940000000000007e+00,1.178360000000000074e+00,1.377410000000000023e+00,1.405659999999999910e+00,1.364139999999999908e+00,1.354680000000000106e+00
1.274939999999999962e+00,1.125040000000000040e+00,1.446879999999999944e+00,1.239589999999999970e+00,1.375550000000000050e+00,1.427980000000000027e+00
1.350209999999999910e+00,1.210180000000000033e+00,1.317630000000000079e+00,1.309139999999999970e+00,1.295330000000000092e+00,1.304890000000000105e+00
1.357609999999999983e+00,1.123869999999999925e+00,1.283949999999999925e+00,1.251049999999999995e+00,1.359690000000000065e+00,1.189840000000000009e+00
1.249239999999999906e+00,1.180579999999999963e+00,1.195820000000000105e+00,1.221899999999999986e+00,1.299989999999999979e+00,1.345820000000000016e+00
1.297269999999999923e+00,1.122940000000000049e+00,1.363660000000000094e+00,1.394150000000000000e+00,1.367799999999999905e+00,1.227929999999999966e+00
1.324549999999999894e+00,1.070619999999999905e+00,1.258650000000000047e+00,1.257249999999999979e+00,1.292429999999999968e+00,1.273590000000000000e+00
1.261209999999999942e+00,1.037230000000000096e+00,1.347590000000000066e+00,1.397890000000000077e+00,1.314230000000000009e+00,1.332600000000000007e+00
1.278140000000000054e+00,1.114500000000000046e+00,1.359509999999999996e+00,1.160970000000000057e+00,1.344680000000000097e+00,1.238399999999999945e+00
1.195289999999999964e+00,1.109769999999999923e+00,1.397939999999999960e+00,1.211430000000000007e+00,1.269670000000000076e+00,1.290049999999999919e+00
1.334980000000000055e+00,1.159059999999999979e+00,1.376090000000000035e+00,1.218539999999999957e+00,1.337180000000000035e+00,1.257649999999999935e+00
1.243940000000000046e+00,1.130880000000000107e+00,1.305579999999999963e+00,1.295420000000000016e+00,1.217109999999999914e+00,1.281020000000000048e+00
1.291819999999999968e+00,1.118219999999999992e+00,1.326899999999999968e+00,1.254939999999999944e+00,1.233849999999999891e+00,1.210890000000000022e+00
1.292640000000000011e+00,1.078259999999999996e+00,1.279940000000000078e+00,1.137650000000000050e+00,1.251670000000000060e+00,1.256739999999999968e+00
1.261290000000000022e+00,1.169829999999999925e+00,1.262410000000000032e+00,1.180490000000000039e+00,1.243789999999999951e+00,1.286180000000000101e+00
1.268159999999999954e+00,1.113380000000000036e+00,1.318400000000000016e+00,1.211880000000000068e+00,1.325150000000000050e+00,1.208490000000000064e+00
1.296219999999999928e+00,1.151569999999999983e+00,1.310119999999999951e+00,1.235309999999999908e+00,1.338440000000000074e+00,1.133080000000000087e+00
1.244939999999999936e+00,1.167329999999999979e+00,1.319439999999999946e+00,1.070929999999999938e+00,1.310629999999999962e+00,1.145340000000000025e+00
1.268229999999999968e+00,1.083779999999999966e+00,1.260210000000000052e+00,1.206040000000000001e+00,1.176889999999999992e+00,1.207310000000000105e+00
1.301779999999999937e+00,1.179780000000000051e+00,1.214390000000000081e+00,1.163159999999999972e+00,1.202820000000000000e+00,1.267700000000000049e+00
1.263490000000000002e+00,1.063020000000000076e+00,1.266729999999999912e+00,1.154260000000000064e+00,1.279020000000000046e+00,1.154130000000000100e+00
1.252350000000000074e+00,1.100070000000000103e+00,1.283060000000000089e+00,1.231700000000000017e+00,1.200760000000000050e+00,1.229659999999999975e+00
1.265840000000000076e+00,1.130130000000000079e+00,1.307369999999999921e+00,1.224350000000000049e+00,1.189159999999999995e+00,1.165980000000000016e+00
1.272559999999999913e+00,1.149459999999999926e+00,1.331749999999999989e+00,1.296089999999999964e+00,1.121110000000000051e+00,1.190579999999999972e+00
1.281109999999999971e+00,1.094109999999999916e+00,1.308680000000000065e+00,1.120009999999999950e+00,1.174649999999999972e+00,1.090899999999999981e+00
1.266899999999999915e+00,1.084330000000000016e+00,1.252469999999999972e+00,1.145359999999999934e+00,1.231000000000000094e+00,1.248720000000000052e+00
1.247279999999999944e+00,1.126509999999999900e+00,1.228709999999999969e+00,1.173599999999999977e+00,1.182439999999999936e+00,1.233389999999999986e+00
1.262529999999999930e+00,1.117860000000000076e+00,1.218210000000000015e+00,1.104330000000000034e+00,1.169610000000000039e+00,1.150730000000000031e+00
1.257609999999999895e+00,1.088270000000000071e+00,1.321760000000000046e+00,1.162020000000000053e+00,1.162660000000000027e+00,1.143550000000000066e+00
1.282620000000000093e+00,1.119089999999999918e+00,1.299919999999999964e+00,1.111110000000000042e+00,1.276240000000000041e+00,1.211389999999999967e+00
1.230969999999999898e+00,1.087169999999999970e+00,1.311839999999999895e+00,1.235630000000000006e+00,1.195599999999999996e+00,1.167049999999999921e+00
1.254000000000000004e+00,1.124079999999999968e+00,1.278469999999999995e+00,1.155059999999999976e+00,1.236050000000000093e+00,1.120980000000000087e+00
1.259279999999999955e+00,1.133289999999999909e+00,1.304419999999999913e+00,1.094419999999999948e+00,1.180879999999999930e+00,1.074070000000000080e+00
1.266329999999999956e+00,1.135089999999999932e+00,1.320740000000000025e+00,9.764439999999999786e-01,1.135080000000000089e+00,1.148900000000000032e+00
1.288739999999999997e+00,1.115560000000000107e+00,1.330019999999999980e+00,1.102119999999999989e+00,1.148619999999999974e+00,1.109350000000000058e+00
1.279460000000000042e+00,1.116360000000000019e+00,1.317090000000000094e+00,1.118889999999999940e+00,1.170530000000000070e+00,1.112430000000000030e+00
1.318869999999999987e+00,1.118120000000000003e+00,1.338969999999999994e+00,1.063909999999999911e+00,1.168709999999999916e+00,1.109159999999999924e+00
1.251989999999999936e+00,1.116170000000000107e+00,1.338219999999999965e+00,1.089120000000000088e+00,1.144379999999999953e+00,1.077550000000000008e+00
1.253039999999999932e+00,1.098659999999999970e+00,1.340189999999999992e+00,1.049919999999999964e+00,1.150730000000000031e+00,1.051739999999999897e+00
1.269470000000000098e+00,1.124009999999999954e+00,1.287099999999999911e+00,1.060759999999999925e+00,1.141000000000000014e+00,1.060060000000000002e+00
1.256869999999999932e+00,1.121350000000000069e+00,1.326219999999999954e+00,1.054480000000000084e+00,1.145759999999999890e+00,1.085700000000000109e+00
1.260939999999999950e+00,1.121939999999999937e+00,1.334559999999999969e+00,1.083099999999999952e+00,1.125229999999999952e+00,1.078780000000000072e+00
1.263209999999999944e+00,1.118249999999999966e+00,1.294079999999999897e+00,1.079120000000000079e+00,1.114900000000000002e+00,1.098090000000000011e+00
