2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
2.269039999999999946e+00,2.269039999999999946e+00,2.377959999999999852e+00,2.377959999999999852e+00,2.315350000000000019e+00,2.314290000000000180e+00
2.292450000000000099e+00,2.228769999999999918e+00,2.276819999999999844e+00,2.234440000000000204e+00,2.295549999999999979e+00,2.265789999999999971e+00
2.232969999999999899e+00,2.277559999999999807e+00,2.267100000000000115e+00,2.283640000000000114e+00,2.297899999999999832e+00,2.266910000000000203e+00
2.201670000000000016e+00,2.197529999999999983e+00,2.259149999999999991e+00,2.224359999999999893e+00,2.270010000000000083e+00,2.234640000000000182e+00
2.127769999999999939e+00,2.129980000000000206e+00,2.218580000000000219e+00,2.251539999999999875e+00,2.225579999999999892e+00,2.188759999999999817e+00
2.205090000000000217e+00,2.262550000000000061e+00,2.237270000000000092e+00,2.201789999999999914e+00,2.221020000000000216e+00,2.226510000000000211e+00
2.134599999999999831e+00,2.139520000000000088e+00,2.222599999999999909e+00,2.195850000000000080e+00,2.222100000000000186e+00,2.234140000000000015e+00
2.155619999999999870e+00,2.160670000000000091e+00,2.228320000000000078e+00,2.302059999999999995e+00,2.189550000000000107e+00,2.186529999999999863e+00
2.171660000000000146e+00,2.180019999999999847e+00,2.203559999999999963e+00,2.100470000000000059e+00,2.135709999999999997e+00,2.141789999999999861e+00
2.051140000000000185e+00,2.064239999999999853e+00,2.208740000000000148e+00,2.129789999999999850e+00,2.192019999999999857e+00,2.109739999999999949e+00
2.047019999999999840e+00,2.088870000000000005e+00,2.145280000000000076e+00,2.139800000000000146e+00,2.155310000000000059e+00,2.125440000000000218e+00
1.934029999999999916e+00,2.002190000000000136e+00,2.095959999999999823e+00,2.123069999999999791e+00,2.108389999999999986e+00,2.118059999999999832e+00
2.003420000000000201e+00,2.035070000000000157e+00,2.082710000000000061e+00,2.150049999999999795e+00,2.134419999999999984e+00,2.115069999999999784e+00
1.952229999999999910e+00,2.053370000000000140e+00,2.065380000000000216e+00,2.042199999999999793e+00,2.050279999999999880e+00,2.084140000000000104e+00
1.914660000000000029e+00,2.013910000000000089e+00,2.016280000000000072e+00,2.031050000000000022e+00,2.104080000000000172e+00,2.054019999999999957e+00
1.902079999999999993e+00,1.984150000000000080e+00,2.083250000000000046e+00,2.085399999999999920e+00,2.055919999999999970e+00,2.072560000000000180e+00
1.826510000000000078e+00,1.947740000000000027e+00,2.012410000000000032e+00,2.078170000000000073e+00,2.086580000000000101e+00,2.034069999999999823e+00
1.842629999999999990e+00,1.941249999999999920e+00,2.043709999999999916e+00,2.066159999999999997e+00,2.064909999999999801e+00,2.102189999999999781e+00
1.839860000000000051e+00,1.925759999999999916e+00,2.001799999999999802e+00,2.020210000000000061e+00,2.035340000000000149e+00,2.050320000000000142e+00
1.765919999999999934e+00,1.963859999999999939e+00,1.986539999999999973e+00,1.992420000000000080e+00,1.984699999999999909e+00,2.040830000000000144e+00
1.749540000000000095e+00,1.901729999999999920e+00,1.976580000000000004e+00,2.008449999999999847e+00,1.988320000000000087e+00,1.974120000000000097e+00
1.762639999999999985e+00,1.895569999999999977e+00,1.954490000000000061e+00,1.955829999999999957e+00,2.003460000000000019e+00,1.990869999999999918e+00
1.721980000000000066e+00,1.875439999999999996e+00,1.950229999999999908e+00,2.000700000000000145e+00,1.984059999999999935e+00,1.953049999999999953e+00
1.700369999999999937e+00,1.830899999999999972e+00,1.936620000000000008e+00,1.937939999999999996e+00,1.963300000000000045e+00,1.944369999999999932e+00
1.702620000000000022e+00,1.798329999999999984e+00,1.862449999999999939e+00,1.927059999999999995e+00,1.951770000000000005e+00,1.935759999999999925e+00
1.665219999999999922e+00,1.812850000000000072e+00,1.881869999999999932e+00,1.897289999999999921e+00,1.907650000000000068e+00,1.934309999999999974e+00
1.628449999999999953e+00,1.816519999999999913e+00,1.835480000000000000e+00,1.931810000000000027e+00,1.900770000000000071e+00,1.907429999999999959e+00
1.616989999999999927e+00,1.776540000000000008e+00,1.891869999999999941e+00,1.933710000000000040e+00,1.899759999999999893e+00,1.891960000000000086e+00
1.594969999999999999e+00,1.743900000000000006e+00,1.748639999999999972e+00,1.899939999999999962e+00,1.923249999999999904e+00,1.876560000000000006e+00
1.587890000000000024e+00,1.767360000000000042e+00,1.823870000000000102e+00,1.881210000000000049e+00,1.895010000000000083e+00,1.864470000000000072e+00
1.523439999999999905e+00,1.712169999999999970e+00,1.833010000000000028e+00,1.890409999999999924e+00,1.876470000000000082e+00,1.862409999999999899e+00
1.557050000000000045e+00,1.713540000000000063e+00,1.816820000000000102e+00,1.861680000000000001e+00,1.832009999999999916e+00,1.866589999999999971e+00
1.525099999999999900e+00,1.686190000000000078e+00,1.734850000000000003e+00,1.827129999999999921e+00,1.828619999999999912e+00,1.821669999999999900e+00
1.493069999999999897e+00,1.615869999999999918e+00,1.718690000000000051e+00,1.798839999999999995e+00,1.810049999999999937e+00,1.844559999999999977e+00
1.491039999999999921e+00,1.625629999999999908e+00,1.744490000000000096e+00,1.825290000000000079e+00,1.815309999999999979e+00,1.812939999999999996e+00
1.484399999999999942e+00,1.623680000000000012e+00,1.723449999999999926e+00,1.803919999999999968e+00,1.789260000000000073e+00,1.806980000000000031e+00
1.492660000000000098e+00,1.560880000000000045e+00,1.697170000000000067e+00,1.792089999999999961e+00,1.797989999999999977e+00,1.773519999999999985e+00
1.461649999999999894e+00,1.590289999999999981e+00,1.654379999999999962e+00,1.722439999999999971e+00,1.766259999999999941e+00,1.763819999999999943e+00
1.487849999999999895e+00,1.601420000000000066e+00,1.691249999999999920e+00,1.784599999999999964e+00,1.745540000000000092e+00,1.758669999999999956e+00
1.445000000000000062e+00,1.595359999999999889e+00,1.598950000000000093e+00,1.703810000000000047e+00,1.740499999999999936e+00,1.722259999999999902e+00
1.433419999999999916e+00,1.590389999999999970e+00,1.679789999999999894e+00,1.744439999999999991e+00,1.739849999999999897e+00,1.712890000000000024e+00
1.414860000000000007e+00,1.573139999999999983e+00,1.653659999999999908e+00,1.708639999999999937e+00,1.711529999999999996e+00,1.694379999999999997e+00
1.424190000000000067e+00,1.544119999999999937e+00,1.672250000000000014e+00,1.673289999999999944e+00,1.668190000000000062e+00,1.695219999999999949e+00
1.397599999999999953e+00,1.526070000000000038e+00,1.615609999999999991e+00,1.685179999999999900e+00,1.652530000000000054e+00,1.670080000000000009e+00
1.391369999999999996e+00,1.522029999999999994e+00,1.603720000000000034e+00,1.712699999999999889e+00,1.669650000000000079e+00,1.665270000000000028e+00
1.390230000000000077e+00,1.491309999999999913e+00,1.578750000000000098e+00,1.674960000000000004e+00,1.678190000000000071e+00,1.658120000000000038e+00
1.379550000000000054e+00,1.491109999999999935e+00,1.612910000000000066e+00,1.649199999999999999e+00,1.646930000000000005e+00,1.664479999999999960e+00
1.361660000000000093e+00,1.498259999999999925e+00,1.582819999999999894e+00,1.631839999999999957e+00,1.624260000000000037e+00,1.619869999999999921e+00
1.359790000000000054e+00,1.449240000000000084e+00,1.583269999999999955e+00,1.585900000000000087e+00,1.624800000000000022e+00,1.605839999999999934e+00
1.352819999999999911e+00,1.482350000000000056e+00,1.610000000000000098e+00,1.624069999999999903e+00,1.616319999999999979e+00,1.627469999999999972e+00
1.353839999999999932e+00,1.457170000000000076e+00,1.605280000000000040e+00,1.631059999999999954e+00,1.564070000000000071e+00,1.574319999999999942e+00
1.351930000000000076e+00,1.459780000000000078e+00,1.584100000000000064e+00,1.571469999999999922e+00,1.593520000000000048e+00,1.595920000000000005e+00
1.348540000000000072e+00,1.464639999999999942e+00,1.528119999999999923e+00,1.590850000000000097e+00,1.559749999999999970e+00,1.587329999999999908e+00
1.349800000000000111e+00,1.480890000000000040e+00,1.537400000000000100e+00,1.572640000000000038e+00,1.595509999999999984e+00,1.560999999999999943e+00
1.347690000000000055e+00,1.453049999999999953e+00,1.529220000000000024e+00,1.575329999999999897e+00,1.560880000000000045e+00,1.540880000000000027e+00
1.348419999999999952e+00,1.428609999999999935e+00,1.536470000000000002e+00,1.545900000000000052e+00,1.545690000000000008e+00,1.519509999999999916e+00
1.349469999999999947e+00,1.447759999999999936e+00,1.517320000000000002e+00,1.577649999999999997e+00,1.547290000000000054e+00,1.512219999999999898e+00
1.342969999999999997e+00,1.442490000000000050e+00,1.553949999999999942e+00,1.581900000000000084e+00,1.529640000000000111e+00,1.518340000000000023e+00
1.347180000000000044e+00,1.431310000000000082e+00,1.501619999999999955e+00,1.547819999999999974e+00,1.524520000000000097e+00,1.506000000000000005e+00
1.348060000000000036e+00,1.403280000000000083e+00,1.507220000000000004e+00,1.519709999999999894e+00,1.509460000000000024e+00,1.505349999999999966e+00
1.344929999999999959e+00,1.411000000000000032e+00,1.482660000000000089e+00,1.529709999999999903e+00,1.521910000000000096e+00,1.483729999999999993e+00
1.344410000000000105e+00,1.409019999999999939e+00,1.487780000000000102e+00,1.492480000000000029e+00,1.507730000000000015e+00,1.508359999999999923e+00
1.350489999999999968e+00,1.394810000000000105e+00,1.487230000000000052e+00,1.525660000000000016e+00,1.497859999999999969e+00,1.491740000000000066e+00
1.340700000000000003e+00,1.383219999999999894e+00,1.474860000000000060e+00,1.468979999999999952e+00,1.499719999999999942e+00,1.468960000000000043e+00
1.339660000000000073e+00,1.373150000000000093e+00,1.474820000000000020e+00,1.503379999999999939e+00,1.485910000000000064e+00,1.478310000000000013e+00
1.342430000000000012e+00,1.366789999999999949e+00,1.469629999999999992e+00,1.477899999999999991e+00,1.463149999999999951e+00,1.462990000000000013e+00
1.352810000000000068e+00,1.373119999999999896e+00,1.448020000000000085e+00,1.483680000000000110e+00,1.463300000000000045e+00,1.467189999999999994e+00
1.342649999999999899e+00,1.371760000000000090e+00,1.464960000000000040e+00,1.490529999999999911e+00,1.460429999999999895e+00,1.441840000000000011e+00
