2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
3.604419999999999646e+01,3.604419999999999646e+01,3.613089999999999691e+01,3.613089999999999691e+01,3.599210000000000065e+01,3.597959999999999781e+01
3.573669999999999902e+01,3.588680000000000092e+01,3.572399999999999665e+01,3.577980000000000160e+01,3.583539999999999992e+01,3.581300000000000239e+01
3.568209999999999837e+01,3.589050000000000296e+01,3.577150000000000318e+01,3.586390000000000100e+01,3.590970000000000084e+01,3.578829999999999956e+01
3.560009999999999764e+01,3.576650000000000063e+01,3.567549999999999955e+01,3.570159999999999911e+01,3.582050000000000267e+01,3.577620000000000289e+01
3.569440000000000168e+01,3.554579999999999984e+01,3.567750000000000199e+01,3.563870000000000005e+01,3.576339999999999719e+01,3.574719999999999942e+01
3.558489999999999753e+01,3.561180000000000234e+01,3.577029999999999887e+01,3.569579999999999842e+01,3.574069999999999681e+01,3.564639999999999986e+01
3.538380000000000081e+01,3.549300000000000210e+01,3.552029999999999887e+01,3.550900000000000034e+01,3.563159999999999883e+01,3.562510000000000332e+01
3.535999999999999943e+01,3.554390000000000072e+01,3.555140000000000100e+01,3.555890000000000128e+01,3.557370000000000232e+01,3.570219999999999771e+01
3.538380000000000081e+01,3.542119999999999891e+01,3.555389999999999873e+01,3.546289999999999765e+01,3.545300000000000296e+01,3.554220000000000113e+01
3.512449999999999761e+01,3.529260000000000019e+01,3.550359999999999872e+01,3.543050000000000210e+01,3.550289999999999679e+01,3.545909999999999940e+01
3.516839999999999833e+01,3.525549999999999784e+01,3.541159999999999997e+01,3.534170000000000300e+01,3.548940000000000339e+01,3.540570000000000306e+01
3.490910000000000224e+01,3.514789999999999992e+01,3.529099999999999682e+01,3.544599999999999795e+01,3.543849999999999767e+01,3.525410000000000110e+01
3.501350000000000051e+01,3.516940000000000310e+01,3.534449999999999648e+01,3.537700000000000244e+01,3.535679999999999978e+01,3.537680000000000291e+01
3.493209999999999837e+01,3.516020000000000323e+01,3.524960000000000093e+01,3.521410000000000196e+01,3.526339999999999719e+01,3.528670000000000329e+01
3.481640000000000157e+01,3.501899999999999835e+01,3.516020000000000323e+01,3.530689999999999884e+01,3.541429999999999723e+01,3.528690000000000282e+01
3.470539999999999736e+01,3.504070000000000107e+01,3.519230000000000302e+01,3.520499999999999829e+01,3.524949999999999761e+01,3.510110000000000241e+01
3.461979999999999791e+01,3.493319999999999936e+01,3.502510000000000190e+01,3.520170000000000243e+01,3.519069999999999965e+01,3.513369999999999749e+01
3.447249999999999659e+01,3.484890000000000043e+01,3.505919999999999703e+01,3.525569999999999737e+01,3.517770000000000152e+01,3.518800000000000239e+01
3.443169999999999931e+01,3.475079999999999814e+01,3.492649999999999721e+01,3.510300000000000153e+01,3.500509999999999877e+01,3.505720000000000169e+01
3.439350000000000307e+01,3.470909999999999940e+01,3.494109999999999872e+01,3.508590000000000231e+01,3.510960000000000036e+01,3.507750000000000057e+01
3.420729999999999649e+01,3.461339999999999861e+01,3.479310000000000258e+01,3.490079999999999671e+01,3.500739999999999696e+01,3.493670000000000186e+01
3.406199999999999761e+01,3.461630000000000251e+01,3.480599999999999739e+01,3.497350000000000136e+01,3.493639999999999901e+01,3.496320000000000050e+01
3.409129999999999683e+01,3.450169999999999959e+01,3.476140000000000185e+01,3.491709999999999781e+01,3.491899999999999693e+01,3.490570000000000306e+01
3.395020000000000238e+01,3.451330000000000098e+01,3.469149999999999778e+01,3.482880000000000109e+01,3.482269999999999754e+01,3.490749999999999886e+01
3.385949999999999704e+01,3.437199999999999989e+01,3.467260000000000275e+01,3.482319999999999993e+01,3.494850000000000279e+01,3.479760000000000275e+01
3.374530000000000030e+01,3.441969999999999885e+01,3.468240000000000123e+01,3.472330000000000183e+01,3.475690000000000168e+01,3.472999999999999687e+01
3.373890000000000100e+01,3.440339999999999776e+01,3.454879999999999995e+01,3.467569999999999908e+01,3.467620000000000147e+01,3.479959999999999809e+01
3.360300000000000153e+01,3.423089999999999833e+01,3.457139999999999702e+01,3.481490000000000151e+01,3.472339999999999804e+01,3.471020000000000039e+01
3.346840000000000259e+01,3.411970000000000169e+01,3.443540000000000134e+01,3.471059999999999945e+01,3.463309999999999889e+01,3.461099999999999710e+01
3.345629999999999882e+01,3.406499999999999773e+01,3.437219999999999942e+01,3.452009999999999934e+01,3.462180000000000035e+01,3.457909999999999684e+01
3.337189999999999657e+01,3.400679999999999836e+01,3.433650000000000091e+01,3.460759999999999792e+01,3.449459999999999837e+01,3.465480000000000160e+01
3.328070000000000306e+01,3.388409999999999656e+01,3.427770000000000294e+01,3.442309999999999803e+01,3.451950000000000074e+01,3.452150000000000318e+01
3.318180000000000263e+01,3.387559999999999860e+01,3.433509999999999707e+01,3.454050000000000153e+01,3.440910000000000224e+01,3.438940000000000197e+01
3.316409999999999769e+01,3.386979999999999791e+01,3.419140000000000157e+01,3.440870000000000317e+01,3.446719999999999828e+01,3.448709999999999809e+01
3.304399999999999693e+01,3.377949999999999875e+01,3.422079999999999700e+01,3.430969999999999942e+01,3.438700000000000045e+01,3.435190000000000055e+01
3.306519999999999726e+01,3.374479999999999791e+01,3.406450000000000244e+01,3.439220000000000255e+01,3.439180000000000348e+01,3.434080000000000155e+01
3.295519999999999783e+01,3.362839999999999918e+01,3.401769999999999783e+01,3.426700000000000301e+01,3.428309999999999746e+01,3.433639999999999759e+01
3.292020000000000124e+01,3.356799999999999784e+01,3.398760000000000048e+01,3.414759999999999707e+01,3.418970000000000198e+01,3.421090000000000231e+01
3.285079999999999956e+01,3.341949999999999932e+01,3.399249999999999972e+01,3.410580000000000211e+01,3.422710000000000008e+01,3.415579999999999927e+01
3.287299999999999756e+01,3.338349999999999795e+01,3.377799999999999869e+01,3.421229999999999905e+01,3.411290000000000333e+01,3.413909999999999911e+01
3.276149999999999807e+01,3.339889999999999759e+01,3.376809999999999690e+01,3.409029999999999916e+01,3.411299999999999955e+01,3.403170000000000073e+01
3.272249999999999659e+01,3.322740000000000293e+01,3.379050000000000153e+01,3.405749999999999744e+01,3.408460000000000178e+01,3.405299999999999727e+01
3.267450000000000188e+01,3.323360000000000269e+01,3.377799999999999869e+01,3.400670000000000215e+01,3.404630000000000223e+01,3.393769999999999953e+01
3.264039999999999964e+01,3.314719999999999800e+01,3.364260000000000161e+01,3.391890000000000072e+01,3.397279999999999944e+01,3.400659999999999883e+01
3.258089999999999975e+01,3.312810000000000343e+01,3.357829999999999870e+01,3.397789999999999822e+01,3.390180000000000149e+01,3.391980000000000217e+01
3.253320000000000078e+01,3.307379999999999853e+01,3.355149999999999721e+01,3.387899999999999778e+01,3.380140000000000100e+01,3.380870000000000175e+01
3.246419999999999817e+01,3.302750000000000341e+01,3.345309999999999917e+01,3.383959999999999724e+01,3.380349999999999966e+01,3.376650000000000063e+01
3.245340000000000202e+01,3.301729999999999876e+01,3.334669999999999845e+01,3.370280000000000342e+01,3.377190000000000225e+01,3.374860000000000326e+01
3.241239999999999810e+01,3.294219999999999970e+01,3.333200000000000074e+01,3.382099999999999795e+01,3.374669999999999703e+01,3.364020000000000010e+01
3.237010000000000076e+01,3.287939999999999685e+01,3.330340000000000344e+01,3.367009999999999792e+01,3.360699999999999932e+01,3.363530000000000086e+01
3.236590000000000344e+01,3.286200000000000188e+01,3.323190000000000310e+01,3.363239999999999696e+01,3.360799999999999699e+01,3.355550000000000210e+01
3.234609999999999985e+01,3.281320000000000192e+01,3.317900000000000205e+01,3.356300000000000239e+01,3.351420000000000243e+01,3.348080000000000211e+01
3.236939999999999884e+01,3.277199999999999847e+01,3.307900000000000063e+01,3.344330000000000069e+01,3.337060000000000315e+01,3.339670000000000272e+01
3.235240000000000293e+01,3.272249999999999659e+01,3.303450000000000131e+01,3.336269999999999669e+01,3.335660000000000025e+01,3.339020000000000010e+01
3.235099999999999909e+01,3.275030000000000285e+01,3.307119999999999749e+01,3.332659999999999911e+01,3.332670000000000243e+01,3.329350000000000165e+01
3.235360000000000014e+01,3.263719999999999999e+01,3.296730000000000160e+01,3.329330000000000211e+01,3.326599999999999824e+01,3.328009999999999735e+01
3.235199999999999676e+01,3.264770000000000039e+01,3.298579999999999757e+01,3.317130000000000223e+01,3.323479999999999990e+01,3.320369999999999777e+01
3.235410000000000252e+01,3.261619999999999919e+01,3.294210000000000349e+01,3.321490000000000009e+01,3.321470000000000056e+01,3.319330000000000069e+01
3.234559999999999746e+01,3.257809999999999917e+01,3.289399999999999835e+01,3.311339999999999861e+01,3.309049999999999869e+01,3.319899999999999807e+01
3.234020000000000294e+01,3.254529999999999745e+01,3.290919999999999845e+01,3.309759999999999991e+01,3.304500000000000171e+01,3.314939999999999998e+01
3.233550000000000324e+01,3.247849999999999682e+01,3.284239999999999782e+01,3.316760000000000019e+01,3.307450000000000045e+01,3.310829999999999984e+01
3.234210000000000207e+01,3.249349999999999739e+01,3.276740000000000208e+01,3.302629999999999910e+01,3.300280000000000058e+01,3.306410000000000338e+01
3.234689999999999799e+01,3.242439999999999856e+01,3.275200000000000244e+01,3.298590000000000089e+01,3.303199999999999648e+01,3.304290000000000305e+01
3.234770000000000323e+01,3.241080000000000183e+01,3.280769999999999698e+01,3.295570000000000022e+01,3.297090000000000032e+01,3.296479999999999677e+01
3.233780000000000143e+01,3.237440000000000140e+01,3.266640000000000299e+01,3.297460000000000235e+01,3.292549999999999955e+01,3.298369999999999891e+01
3.233599999999999852e+01,3.232959999999999923e+01,3.273989999999999867e+01,3.292510000000000048e+01,3.290180000000000149e+01,3.296209999999999951e+01
3.233709999999999951e+01,3.231850000000000023e+01,3.262709999999999866e+01,3.290899999999999892e+01,3.283800000000000097e+01,3.291149999999999665e+01
3.232880000000000109e+01,3.232439999999999714e+01,3.262519999999999953e+01,3.288119999999999976e+01,3.286160000000000281e+01,3.287180000000000035e+01
3.232540000000000191e+01,3.231459999999999866e+01,3.262660000000000338e+01,3.289209999999999923e+01,3.284720000000000084e+01,3.281360000000000099e+01
3.233259999999999934e+01,3.230360000000000298e+01,3.259429999999999694e+01,3.280490000000000350e+01,3.284700000000000131e+01,3.281900000000000261e+01
3.231770000000000209e+01,3.231770000000000209e+01,3.254990000000000094e+01,3.274880000000000280e+01,3.278710000000000235e+01,3.278990000000000293e+01
3.232200000000000273e+01,3.230960000000000321e+01,3.252920000000000300e+01,3.277190000000000225e+01,3.272350000000000136e+01,3.275800000000000267e+01
3.231980000000000075e+01,3.230299999999999727e+01,3.248409999999999798e+01,3.273530000000000229e+01,3.272370000000000090e+01,3.277020000000000266e+01
3.232000000000000028e+01,3.230720000000000169e+01,3.246500000000000341e+01,3.270230000000000103e+01,3.269830000000000325e+01,3.270640000000000214e+01
3.231569999999999965e+01,3.229749999999999943e+01,3.241159999999999997e+01,3.271029999999999660e+01,3.269740000000000180e+01,3.271079999999999899e+01
