2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
1.665850000000000009e+01,1.665850000000000009e+01,1.671859999999999857e+01,1.671859999999999857e+01,1.662790000000000035e+01,1.661799999999999855e+01
1.647030000000000172e+01,1.656360000000000099e+01,1.647030000000000172e+01,1.649200000000000088e+01,1.653790000000000049e+01,1.652479999999999905e+01
1.643550000000000111e+01,1.657999999999999829e+01,1.648760000000000048e+01,1.656709999999999994e+01,1.658879999999999910e+01,1.651119999999999877e+01
1.639379999999999882e+01,1.649559999999999960e+01,1.644359999999999999e+01,1.644200000000000017e+01,1.653610000000000113e+01,1.649559999999999960e+01
1.645479999999999876e+01,1.635940000000000083e+01,1.643349999999999866e+01,1.641540000000000177e+01,1.648839999999999861e+01,1.649200000000000088e+01
1.639130000000000109e+01,1.639610000000000056e+01,1.650359999999999872e+01,1.645530000000000115e+01,1.648979999999999890e+01,1.640859999999999985e+01
1.627299999999999969e+01,1.633719999999999928e+01,1.634169999999999945e+01,1.632550000000000168e+01,1.642180000000000106e+01,1.641560000000000130e+01
1.625179999999999936e+01,1.636449999999999960e+01,1.636410000000000053e+01,1.638080000000000069e+01,1.638410000000000011e+01,1.645670000000000144e+01
1.627560000000000073e+01,1.629169999999999874e+01,1.636240000000000094e+01,1.630339999999999989e+01,1.629560000000000031e+01,1.635790000000000077e+01
1.611060000000000159e+01,1.621369999999999933e+01,1.634750000000000014e+01,1.628440000000000154e+01,1.634349999999999881e+01,1.631080000000000041e+01
1.615040000000000120e+01,1.619790000000000063e+01,1.627769999999999939e+01,1.624569999999999936e+01,1.632590000000000074e+01,1.627509999999999835e+01
1.599000000000000021e+01,1.613019999999999854e+01,1.620299999999999940e+01,1.630870000000000175e+01,1.630920000000000059e+01,1.617379999999999995e+01
1.605839999999999890e+01,1.614789999999999992e+01,1.624780000000000157e+01,1.625159999999999982e+01,1.624899999999999878e+01,1.626589999999999847e+01
1.601089999999999947e+01,1.615409999999999968e+01,1.619000000000000128e+01,1.615869999999999962e+01,1.619519999999999982e+01,1.620649999999999835e+01
1.594790000000000063e+01,1.605189999999999984e+01,1.613990000000000080e+01,1.621529999999999916e+01,1.629560000000000031e+01,1.620100000000000051e+01
