2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
1.992509999999999991e+03,1.992509999999999991e+03,1.998019999999999982e+03,1.998019999999999982e+03,2.025579999999999927e+03,1.981490000000000009e+03
1.888420000000000073e+03,1.880519999999999982e+03,1.932339999999999918e+03,1.885230000000000018e+03,1.917769999999999982e+03,1.919759999999999991e+03
1.941430000000000064e+03,1.890240000000000009e+03,1.900390000000000100e+03,1.897940000000000055e+03,1.886109999999999900e+03,1.896609999999999900e+03
1.867920000000000073e+03,1.827180000000000064e+03,1.856410000000000082e+03,1.880089999999999918e+03,1.895000000000000000e+03,1.907970000000000027e+03
1.799349999999999909e+03,1.827069999999999936e+03,1.860730000000000018e+03,1.832200000000000045e+03,1.893559999999999945e+03,1.850170000000000073e+03
1.792509999999999991e+03,1.828839999999999918e+03,1.801349999999999909e+03,1.825859999999999900e+03,1.829049999999999955e+03,1.841630000000000109e+03
1.753539999999999964e+03,1.776490000000000009e+03,1.816380000000000109e+03,1.810650000000000091e+03,1.804980000000000018e+03,1.785569999999999936e+03
1.723500000000000000e+03,1.714990000000000009e+03,1.754089999999999918e+03,1.842079999999999927e+03,1.790319999999999936e+03,1.737099999999999909e+03
1.686190000000000055e+03,1.739220000000000027e+03,1.729519999999999982e+03,1.774000000000000000e+03,1.791029999999999973e+03,1.760930000000000064e+03
1.623039999999999964e+03,1.711470000000000027e+03,1.732829999999999927e+03,1.759009999999999991e+03,1.785230000000000018e+03,1.752470000000000027e+03
1.589039999999999964e+03,1.665779999999999973e+03,1.699640000000000100e+03,1.718130000000000109e+03,1.754079999999999927e+03,1.750750000000000000e+03
1.592380000000000109e+03,1.637200000000000045e+03,1.685609999999999900e+03,1.702430000000000064e+03,1.699230000000000018e+03,1.704069999999999936e+03
1.566759999999999991e+03,1.592470000000000027e+03,1.644480000000000018e+03,1.739640000000000100e+03,1.720779999999999973e+03,1.696250000000000000e+03
1.506500000000000000e+03,1.625140000000000100e+03,1.667670000000000073e+03,1.665140000000000100e+03,1.680670000000000073e+03,1.662160000000000082e+03
1.491720000000000027e+03,1.552339999999999918e+03,1.621009999999999991e+03,1.623230000000000018e+03,1.648630000000000109e+03,1.639210000000000036e+03
1.438880000000000109e+03,1.534869999999999891e+03,1.612380000000000109e+03,1.653640000000000100e+03,1.625859999999999900e+03,1.646160000000000082e+03
1.386630000000000109e+03,1.495509999999999991e+03,1.558490000000000009e+03,1.602190000000000055e+03,1.574029999999999973e+03,1.603390000000000100e+03
1.407269999999999982e+03,1.503430000000000064e+03,1.557119999999999891e+03,1.580930000000000064e+03,1.612509999999999991e+03,1.616579999999999927e+03
1.314559999999999945e+03,1.438279999999999973e+03,1.538390000000000100e+03,1.528670000000000073e+03,1.548069999999999936e+03,1.560710000000000036e+03
1.295630000000000109e+03,1.444430000000000064e+03,1.503940000000000055e+03,1.543809999999999945e+03,1.551660000000000082e+03,1.557950000000000045e+03
1.285170000000000073e+03,1.437950000000000045e+03,1.510329999999999927e+03,1.523259999999999991e+03,1.522410000000000082e+03,1.502880000000000109e+03
1.265579999999999927e+03,1.364380000000000109e+03,1.417319999999999936e+03,1.530759999999999991e+03,1.507440000000000055e+03,1.521029999999999973e+03
1.217170000000000073e+03,1.350519999999999982e+03,1.445869999999999891e+03,1.495289999999999964e+03,1.506140000000000100e+03,1.476660000000000082e+03
1.176539999999999964e+03,1.328279999999999973e+03,1.398250000000000000e+03,1.464529999999999973e+03,1.445720000000000027e+03,1.444289999999999964e+03
1.147440000000000055e+03,1.305390000000000100e+03,1.387059999999999945e+03,1.440289999999999964e+03,1.452490000000000009e+03,1.450170000000000073e+03
1.097440000000000055e+03,1.289740000000000009e+03,1.333180000000000064e+03,1.413569999999999936e+03,1.432950000000000045e+03,1.411289999999999964e+03
1.086769999999999982e+03,1.222400000000000091e+03,1.333809999999999945e+03,1.393019999999999982e+03,1.383509999999999991e+03,1.384279999999999973e+03
1.044190000000000055e+03,1.199930000000000064e+03,1.314230000000000018e+03,1.407609999999999900e+03,1.390690000000000055e+03,1.409740000000000009e+03
9.944990000000000236e+02,1.205579999999999927e+03,1.279690000000000055e+03,1.345130000000000109e+03,1.354769999999999982e+03,1.360880000000000109e+03
9.920220000000000482e+02,1.176829999999999927e+03,1.268980000000000018e+03,1.362099999999999909e+03,1.345880000000000109e+03,1.353529999999999973e+03
9.369260000000000446e+02,1.142640000000000100e+03,1.249059999999999945e+03,1.302569999999999936e+03,1.322690000000000055e+03,1.300299999999999955e+03
8.837290000000000418e+02,1.080920000000000073e+03,1.220650000000000091e+03,1.289900000000000091e+03,1.301200000000000045e+03,1.326569999999999936e+03
8.863160000000000309e+02,1.104619999999999891e+03,1.194240000000000009e+03,1.271279999999999973e+03,1.277009999999999991e+03,1.273049999999999955e+03
8.624890000000000327e+02,1.055750000000000000e+03,1.183529999999999973e+03,1.227349999999999909e+03,1.251549999999999955e+03,1.242009999999999991e+03
7.939360000000000355e+02,1.051079999999999927e+03,1.135769999999999982e+03,1.240380000000000109e+03,1.252009999999999991e+03,1.241480000000000018e+03
7.905130000000000337e+02,9.953750000000000000e+02,1.113440000000000055e+03,1.191730000000000018e+03,1.199299999999999955e+03,1.197700000000000045e+03
7.538750000000000000e+02,9.915180000000000291e+02,1.100950000000000045e+03,1.228380000000000109e+03,1.213440000000000055e+03,1.211170000000000073e+03
7.043899999999999864e+02,9.603279999999999745e+02,1.097190000000000055e+03,1.193319999999999936e+03,1.160730000000000018e+03,1.186740000000000009e+03
6.898379999999999654e+02,9.396739999999999782e+02,1.044750000000000000e+03,1.147910000000000082e+03,1.171319999999999936e+03,1.160059999999999945e+03
6.495760000000000218e+02,8.851820000000000164e+02,1.055279999999999973e+03,1.138359999999999900e+03,1.143710000000000036e+03,1.146059999999999945e+03
5.999729999999999563e+02,8.697949999999999591e+02,1.018129999999999995e+03,1.102170000000000073e+03,1.099349999999999909e+03,1.106240000000000009e+03
5.811820000000000164e+02,8.630049999999999955e+02,9.881689999999999827e+02,1.078710000000000036e+03,1.103190000000000055e+03,1.084240000000000009e+03
