2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
1.649969999999999937e+00,1.649969999999999937e+00,1.729079999999999950e+00,1.729079999999999950e+00,1.685429999999999984e+00,1.684870000000000090e+00
1.655820000000000070e+00,1.613250000000000073e+00,1.645610000000000017e+00,1.614249999999999963e+00,1.668490000000000029e+00,1.642600000000000060e+00
1.617019999999999902e+00,1.650549999999999962e+00,1.645979999999999999e+00,1.652390000000000025e+00,1.659329999999999972e+00,1.629839999999999955e+00
1.579339999999999966e+00,1.591409999999999991e+00,1.625750000000000028e+00,1.619459999999999900e+00,1.636679999999999913e+00,1.611420000000000075e+00
1.548769999999999980e+00,1.546640000000000015e+00,1.591550000000000020e+00,1.616470000000000073e+00,1.603320000000000078e+00,1.594330000000000025e+00
1.579870000000000108e+00,1.627660000000000107e+00,1.623429999999999929e+00,1.598559999999999981e+00,1.606970000000000010e+00,1.611169999999999991e+00
1.533479999999999954e+00,1.542580000000000062e+00,1.588359999999999994e+00,1.573150000000000048e+00,1.604899999999999993e+00,1.616730000000000000e+00
1.540129999999999999e+00,1.538829999999999920e+00,1.595800000000000107e+00,1.646670000000000078e+00,1.585250000000000048e+00,1.581760000000000055e+00
1.544030000000000014e+00,1.555760000000000032e+00,1.580370000000000053e+00,1.523539999999999894e+00,1.540689999999999893e+00,1.539439999999999920e+00
1.473519999999999941e+00,1.479270000000000085e+00,1.593509999999999982e+00,1.537740000000000107e+00,1.573499999999999899e+00,1.517050000000000010e+00
1.460779999999999967e+00,1.496159999999999934e+00,1.549320000000000030e+00,1.528639999999999999e+00,1.548999999999999932e+00,1.531150000000000011e+00
1.388130000000000086e+00,1.442809999999999926e+00,1.515540000000000109e+00,1.525600000000000067e+00,1.520499999999999963e+00,1.511069999999999913e+00
1.435599999999999987e+00,1.454399999999999915e+00,1.493919999999999915e+00,1.558140000000000081e+00,1.536410000000000053e+00,1.522650000000000059e+00
1.401200000000000001e+00,1.479330000000000034e+00,1.493200000000000083e+00,1.466439999999999966e+00,1.475449999999999928e+00,1.498780000000000001e+00
1.358500000000000041e+00,1.439310000000000089e+00,1.438069999999999959e+00,1.462460000000000093e+00,1.511940000000000062e+00,1.479689999999999950e+00
1.347339999999999982e+00,1.415829999999999922e+00,1.487130000000000063e+00,1.499300000000000077e+00,1.468110000000000026e+00,1.493170000000000108e+00
1.295639999999999903e+00,1.398419999999999996e+00,1.442890000000000006e+00,1.487009999999999943e+00,1.492779999999999996e+00,1.454579999999999984e+00
1.306650000000000089e+00,1.379499999999999948e+00,1.460749999999999993e+00,1.477500000000000036e+00,1.482269999999999976e+00,1.507190000000000030e+00
1.302259999999999973e+00,1.371650000000000036e+00,1.428430000000000089e+00,1.451449999999999907e+00,1.455100000000000060e+00,1.464849999999999985e+00
1.250280000000000058e+00,1.388109999999999955e+00,1.409450000000000092e+00,1.416360000000000063e+00,1.422409999999999952e+00,1.458469999999999933e+00
1.243800000000000017e+00,1.345599999999999907e+00,1.399710000000000010e+00,1.420889999999999986e+00,1.422220000000000040e+00,1.414690000000000003e+00
1.237139999999999906e+00,1.361089999999999911e+00,1.398600000000000065e+00,1.401270000000000016e+00,1.416830000000000034e+00,1.418609999999999927e+00
1.213230000000000031e+00,1.332989999999999897e+00,1.379080000000000084e+00,1.417089999999999961e+00,1.420849999999999946e+00,1.398139999999999938e+00
1.191049999999999942e+00,1.305199999999999916e+00,1.381569999999999965e+00,1.392349999999999977e+00,1.400179999999999980e+00,1.387899999999999912e+00
1.189599999999999991e+00,1.275689999999999991e+00,1.328799999999999981e+00,1.380470000000000086e+00,1.396919999999999940e+00,1.374989999999999934e+00
1.155399999999999983e+00,1.282799999999999940e+00,1.327090000000000103e+00,1.358489999999999975e+00,1.360109999999999930e+00,1.380910000000000082e+00
1.132149999999999990e+00,1.280939999999999968e+00,1.304869999999999974e+00,1.377490000000000103e+00,1.346899999999999986e+00,1.361429999999999918e+00
1.121019999999999905e+00,1.263929999999999998e+00,1.341320000000000068e+00,1.383890000000000065e+00,1.358030000000000070e+00,1.346629999999999994e+00
