2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
6.855299999999999727e+00,6.855299999999999727e+00,6.818780000000000285e+00,6.818780000000000285e+00,6.853939999999999699e+00,6.858380000000000365e+00
6.901510000000000034e+00,6.872620000000000395e+00,6.916710000000000136e+00,6.896720000000000184e+00,6.885299999999999976e+00,6.891779999999999795e+00
6.927389999999999937e+00,6.878269999999999662e+00,6.902650000000000396e+00,6.873039999999999594e+00,6.861970000000000347e+00,6.900649999999999729e+00
6.938100000000000378e+00,6.912569999999999659e+00,6.905529999999999724e+00,6.921680000000000277e+00,6.886630000000000251e+00,6.910560000000000258e+00
6.921210000000000306e+00,6.955890000000000128e+00,6.924500000000000099e+00,6.926689999999999792e+00,6.905789999999999651e+00,6.903240000000000265e+00
6.936770000000000103e+00,6.928609999999999935e+00,6.897610000000000241e+00,6.922049999999999592e+00,6.911579999999999835e+00,6.928099999999999703e+00
6.985470000000000290e+00,6.966310000000000002e+00,6.954299999999999926e+00,6.957230000000000025e+00,6.929409999999999847e+00,6.931799999999999962e+00
6.986329999999999707e+00,6.954220000000000290e+00,6.939440000000000275e+00,6.934470000000000134e+00,6.943900000000000183e+00,6.918339999999999712e+00
6.982809999999999739e+00,6.968040000000000234e+00,6.948479999999999990e+00,6.976919999999999789e+00,6.964710000000000178e+00,6.955230000000000246e+00
7.043639999999999901e+00,7.012830000000000119e+00,6.955370000000000275e+00,6.980190000000000339e+00,6.956559999999999633e+00,6.972540000000000404e+00
7.032169999999999810e+00,7.018069999999999808e+00,6.987759999999999749e+00,6.991329999999999600e+00,6.967290000000000205e+00,6.982199999999999740e+00
7.093460000000000321e+00,7.046030000000000015e+00,7.023670000000000080e+00,6.969430000000000014e+00,6.974779999999999980e+00,7.020389999999999908e+00
7.066089999999999982e+00,7.036579999999999835e+00,7.003289999999999793e+00,6.975869999999999571e+00,6.995199999999999640e+00,6.989600000000000257e+00
7.101759999999999629e+00,7.041839999999999655e+00,7.014420000000000321e+00,7.026589999999999669e+00,7.018279999999999852e+00,7.007929999999999993e+00
7.114370000000000083e+00,7.072420000000000151e+00,7.043569999999999887e+00,6.994790000000000063e+00,6.978799999999999670e+00,7.022660000000000124e+00
7.137520000000000309e+00,7.065809999999999924e+00,7.030479999999999841e+00,7.022680000000000256e+00,7.010119999999999685e+00,7.047930000000000028e+00
7.165630000000000166e+00,7.092220000000000191e+00,7.073179999999999801e+00,7.026559999999999917e+00,7.024029999999999774e+00,7.045530000000000292e+00
7.194169999999999732e+00,7.117079999999999629e+00,7.070560000000000400e+00,7.013219999999999565e+00,7.033470000000000333e+00,7.028050000000000352e+00
7.200919999999999987e+00,7.129159999999999719e+00,7.090749999999999886e+00,7.053320000000000256e+00,7.072519999999999918e+00,7.061009999999999565e+00
7.220119999999999649e+00,7.133810000000000429e+00,7.085469999999999935e+00,7.061759999999999593e+00,7.052520000000000344e+00,7.059249999999999581e+00
7.255029999999999646e+00,7.165499999999999758e+00,7.117600000000000371e+00,7.101270000000000415e+00,7.076419999999999710e+00,7.095349999999999824e+00
7.292510000000000048e+00,7.161590000000000344e+00,7.122810000000000308e+00,7.068789999999999907e+00,7.089419999999999611e+00,7.083339999999999748e+00
7.281760000000000232e+00,7.188959999999999795e+00,7.127159999999999940e+00,7.094800000000000217e+00,7.088289999999999758e+00,7.096499999999999808e+00
7.311280000000000001e+00,7.192379999999999995e+00,7.152289999999999814e+00,7.116500000000000270e+00,7.120650000000000368e+00,7.100200000000000067e+00
